Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Dlc Name,Warehouse Load Date
O10005084,10005084,"ODL, Incubation",DEPARTMENTS,10005084.0,HR-406104,406104.0,"ODL, Incubation","ODL, Incubation","ODL, Incubation",Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10004583.0,264.0,Digital Learning Area,10005083.0,267.0,ODL area,D_DL,Digital Learning,01/08/16 01:03 AM
O10004933,10004933,Legatum Center,DEPARTMENTS,10004933.0,HR-121042,121042.0,Legatum Center,Legatum Center,Legatum Center,Sloan School of Management Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000031.0,109.0,Sloan School of Management Area,10004933.0,115.0,Legatum Center,,,,D_SLOAN,Sloan School of Management,01/08/16 01:03 AM
O10004558,10004558,VPF-Contracts,DEPARTMENTS,10004558.0,HR-423302,423302.0,VPF-Contracts,VPF-Contracts,VPF-Contracts,VP for Finance Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10003333.0,323.0,VP for Finance Area,10003683.0,326.0,Financial Operations Area,10004558.0,333.0,VPF-Contracts,D_CAS,Controller & Accounting Services,01/08/16 01:03 AM
O10004833,10004833,J-WAFS,DEPARTMENTS,10004833.0,HR-402410,402410.0,J-WAFS,Abdul Latif Jameel World Water & Food Security Lab,,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10004833.0,295.0,J-WAFS,,,,D_J-WAFS,Abdul Latif Jameel Water and Food Security Lab,01/08/16 01:03 AM
O10004859,10004859,Central Utilities Plant area,DEPARTMENTS,10004859.0,HR-591030,591030.0,Central Utilities Plant area,CUP area,,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10004858.0,374.0,Maintenance and Utilities Area,10004859.0,378.0,Central Utilities Plant area,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10005108,10005108,Supply Chain Management Program,DEPARTMENTS,10005108.0,HR-069501,69501.0,Supply Chain Management Program,Supply Chain Management Program,Supply Chain Management Program,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10005108.0,51.0,Supply Chain Management Program,,,,D_SCM,Supply Chain Mangement Program,01/08/16 01:03 AM
O10000579,10000579,Libraries,DEPARTMENTS,10000579.0,HR-271000,271000.0,Libraries,Libraries,Libraries,"Libraries, MIT Press, Tech Review",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000022.0,221.0,"Libraries, MIT Press, Tech Review",10000162.0,222.0,Libraries,10000579.0,223.0,Libraries,D_LIBRARIES,Libraries,01/08/16 01:03 AM
O10000805,10000805,"Dept of Athletics, Phys Ed, & Recreation",ORGANIZATION LEVEL,,,,,,,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000805.0,175.0,"Dept of Athletics, Phys Ed, & Recreation",,,,,,01/08/16 01:03 AM
O10000806,10000806,DAPER Facilities,DEPARTMENTS,10000806.0,HR-501500,501500.0,DAPER Facilities,DAPER Facilities,DAPER Facilities,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000805.0,175.0,"Dept of Athletics, Phys Ed, & Recreation",10000806.0,177.0,DAPER Facilities,D_ATHLETICS,"Dept of Athletics, Phys Ed, & Recreation",01/08/16 01:03 AM
O10000921,10000921,DAPER Administration,DEPARTMENTS,10000921.0,HR-501100,501100.0,DAPER Administration,DAPER Administration,DAPER Administration,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000805.0,175.0,"Dept of Athletics, Phys Ed, & Recreation",10000921.0,178.0,DAPER Administration,D_ATHLETICS,"Dept of Athletics, Phys Ed, & Recreation",01/08/16 01:03 AM
O10000284,10000284,School of Engineering,DEPARTMENTS,10000284.0,HR-060000,60000.0,School of Engineering,School of Engineering,School of Engineering,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000284.0,66.0,School of Engineering,,,,D_DOE,Dean of Engineering,01/08/16 01:03 AM
O10002833,10002833,AMPS-Libraries,DEPARTMENTS,10002833.0,HR-271100,271100.0,AMPS-Libraries,Academic Media Production Services-Libraries,Academic Media Production Services-Libraries,"Libraries, MIT Press, Tech Review",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000022.0,221.0,"Libraries, MIT Press, Tech Review",10000162.0,222.0,Libraries,10002833.0,225.0,AMPS-Libraries,D_LIBRARIES,Libraries,01/08/16 01:03 AM
O10002198,10002198,Kuwait-MIT Center for Natural Resources,DEPARTMENTS,10002198.0,HR-401900,401900.0,Kuwait-MIT Center for Natural Resources,Kuwait-MIT Center for Natural Resources,Kuwait-MIT Center for Natural Resources,Chancellor's Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10003358.0,3.0,Chancellor's Area,10002198.0,4.0,Kuwait-MIT Center for Natural Resources,,,,D_CHANCELLOR,Chancellor's Office,01/08/16 01:03 AM
O10000649,10000649,"ODL, OpenCourseWare",DEPARTMENTS,10000649.0,HR-406300,406300.0,"ODL, OpenCourseWare","ODL, OpenCourseWare",,Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10004583.0,264.0,Digital Learning Area,10005083.0,267.0,ODL area,D_OCW,Open Courseware,01/08/16 01:03 AM
O10004059,10004059,Research Laboratory of Electronics HQ,DEPARTMENTS,10004059.0,HR-267700,267700.0,Research Laboratory of Electronics HQ,Research Laboratory of Electronics HQ,Research Laboratory of Electronics HQ,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10004058.0,291.0,RLE Area,10004059.0,292.0,Research Laboratory of Electronics HQ,D_RLE,Research Lab Of Electronics,01/08/16 01:03 AM
O10002465,10002465,Utilities,DEPARTMENTS,10002465.0,HR-591030,591030.0,Utilities,Maintenance and Utilities,Facilities Utilities,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10004858.0,374.0,Maintenance and Utilities Area,10002465.0,376.0,Utilities,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10002383,10002383,Office of Finance,DEPARTMENTS,10002383.0,HR-428000,428000.0,Office of Finance,Office of Finance,Office of Finance,VP for Finance Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10003333.0,323.0,VP for Finance Area,10002383.0,344.0,Office of Finance,,,,D_CAS,Controller & Accounting Services,01/08/16 01:03 AM
O10003486,10003486,HR/Payroll,DEPARTMENTS,10003486.0,HR-423500,423500.0,HR/Payroll,HR/Payroll,HR/Payroll,VP for Finance Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10003333.0,323.0,VP for Finance Area,10003683.0,326.0,Financial Operations Area,10003486.0,328.0,HR/Payroll,D_CAS,Controller & Accounting Services,01/08/16 01:03 AM
O10004633,10004633,Media Lab Area,ORGANIZATION LEVEL,,,,,,,Architecture & Planning Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000005.0,7.0,Architecture & Planning Area,10004633.0,13.0,Media Lab Area,,,,,,01/08/16 01:03 AM
O10004436,10004436,Alumni Association SWEB,DEPARTMENTS,10004436.0,HR-871120,871120.0,Alumni Association SWEB,Alumni Association SWEB,Alumni Association SWEB,Alumni Association Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004183.0,349.0,Alumni Association Area,10004436.0,357.0,Alumni Association SWEB,,,,D_ALUM,Alumni Association,01/08/16 01:03 AM
O10000031,10000031,Sloan School of Management Area,ORGANIZATION LEVEL,,,,,,,Sloan School of Management Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000031.0,109.0,Sloan School of Management Area,,,,,,,,,01/08/16 01:03 AM
O10000405,10000405,Center for Information Systems Research,DEPARTMENTS,10000405.0,HR-121930,121930.0,Center for Information Systems Research,Center for Information Systems Research,Center for Information Systems Research,Sloan School of Management Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000031.0,109.0,Sloan School of Management Area,10000405.0,113.0,Center for Information Systems Research,,,,D_SLOAN,Sloan School of Management,01/08/16 01:03 AM
O10000187,10000187,Office VP Resource Development,ORGANIZATION LEVEL,,,,,,,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,,,,,,01/08/16 01:03 AM
O10000660,10000660,Stewardship and Donor Relations,DEPARTMENTS,10000660.0,HR-410015,410015.0,Stewardship and Donor Relations,Stewardship and Donor Relations,Stewardship and Donor Relations,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000660.0,410.0,Stewardship and Donor Relations,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000667,10000667,Ofc of Philanthropic Partnerships,DEPARTMENTS,10000667.0,HR-410075,410075.0,Ofc of Philanthropic Partnerships,Office of Philanthropic Partnerships,Office of Philanthropic Partnerships,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000667.0,417.0,Ofc of Philanthropic Partnerships,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000170,10000170,Materials Processing Center Area,ORGANIZATION LEVEL,,,,,,,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000170.0,63.0,Materials Processing Center Area,,,,,,01/08/16 01:03 AM
O10000803,10000803,Gray House,DEPARTMENTS,10000803.0,HR-497400,497400.0,Gray House,Gray House,Gray House,Office of EVPT area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000024.0,388.0,Office of EVPT area,10000803.0,390.0,Gray House,,,,D_GRAY,Gray House,01/08/16 01:03 AM
O10000320,10000320,Civil and Environmental Engineering,DEPARTMENTS,10000320.0,HR-063000,63000.0,Civil and Environmental Engineering,Department of Civil and Environmental Engineering,"Civil and Environmental Engineering, Department of",Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000320.0,59.0,Civil and Environmental Engineering,,,,D_CEE,Civil & Environmental Engineering,01/08/16 01:03 AM
O10000743,10000743,Teaching & Learning Laboratory,DEPARTMENTS,10000743.0,HR-441700,441700.0,Teaching & Learning Laboratory,Teaching and Learning Laboratory,Teaching and Learning Laboratory,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10000743.0,215.0,Teaching & Learning Laboratory,,,,D_TLL,Teaching and Learning Lab,01/08/16 01:03 AM
O10004209,10004209,Skolkovo,DEPARTMENTS,10004209.0,HR-401802,401802.0,Skolkovo,Skolkovo,Skolkovo,Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10000218.0,248.0,Provost Office,10004209.0,254.0,Skolkovo,D_SKOLKOVO,Skolkovo,01/08/16 01:03 AM
O10004908,10004908,Maintenance and Utilities,DEPARTMENTS,10004908.0,HR-591300,591300.0,Maintenance and Utilities,Maintenance and Utilities,Maintenance and Utilities,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10004858.0,374.0,Maintenance and Utilities Area,10004908.0,380.0,Maintenance and Utilities,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10000955,10000955,MIT Professional Education,DEPARTMENTS,10000955.0,HR-061800,61800.0,MIT Professional Education,MIT Professional Education,MIT Professional Education,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000954.0,26.0,Professional Education Programs Area,10000955.0,27.0,MIT Professional Education,D_PEP,Professional Education Programs,01/08/16 01:03 AM
O10004708,10004708,Campus Planning,DEPARTMENTS,10004708.0,HR-404210,404210.0,Campus Planning,Campus Planning,Campus Planning,Executive Vice President Area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004708.0,359.0,Campus Planning,,,,,,,D_CAMPLAN,Campus Planning,01/08/16 01:03 AM
O10000590,10000590,Office of Sponsored Programs,DEPARTMENTS,10000590.0,HR-391000,391000.0,Office of Sponsored Programs,Office of Sponsored Programs,Office of Sponsored Programs,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10000590.0,302.0,Office of Sponsored Programs,,,,D_OSP,Office of Sponsored Programs,01/08/16 01:03 AM
O10000533,10000533,Mathematics,DEPARTMENTS,10000533.0,HR-154000,154000.0,Mathematics,Department of Mathematics,"Mathematics, Department of",Science Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000030.0,117.0,Science Area,10000533.0,126.0,Mathematics,,,,D_MATHS,Mathematics,01/08/16 01:03 AM
O10000573,10000573,Center for Matl Science and Engineering,DEPARTMENTS,10000573.0,HR-246000,246000.0,Center for Matl Science and Engineering,Center for Materials Science and Engineering,Center for Materials Science and Engineering,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000573.0,57.0,Center for Matl Science and Engineering,,,,D_CMSE,Center for Materials Science & Engineering,01/08/16 01:03 AM
O10000429,10000429,Biology,DEPARTMENTS,10000429.0,HR-151000,151000.0,Biology,Department of Biology,"Biology, Department of",Science Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000030.0,117.0,Science Area,10000429.0,123.0,Biology,,,,D_BIOLOGY,Biology,01/08/16 01:03 AM
O10002358,10002358,DUE Desktop Support,DEPARTMENTS,10002358.0,HR-441900,441900.0,DUE Desktop Support,DUE Desktop Support,DUE Desktop Support,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10000100.0,204.0,Dean for Undergraduate Education Offices,10002358.0,208.0,DUE Desktop Support,D_DUE:HQ,DUE HQ,01/08/16 01:03 AM
O10000889,10000889,Dining,DEPARTMENTS,10000889.0,HR-801000,801000.0,Dining,Dining,Dining,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000223.0,170.0,Residential Life Programs Area,10000889.0,174.0,Dining,D_DINING,Campus Dining,01/08/16 01:03 AM
O10000894,10000894,Housing,DEPARTMENTS,10000894.0,HR-861000,861000.0,Housing,Department of Housing,"Housing, Department of",Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000223.0,170.0,Residential Life Programs Area,10000894.0,171.0,Housing,D_HOUSING,Housing,01/08/16 01:03 AM
O10002886,10002886,"Fraternities, Sororities and ILgs",DEPARTMENTS,10002886.0,HR-441330,441330.0,"Fraternities, Sororities and ILgs","Fraternities, Sororities and ILGs","Fraternities, Sororities and ILGs",Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000223.0,170.0,Residential Life Programs Area,10002886.0,173.0,"Fraternities, Sororities and ILgs",D_SLP,Student Life Programs,01/08/16 01:03 AM
O10002461,10002461,Facilities Dev Design Eng & Construction,DEPARTMENTS,10002461.0,HR-591040,591040.0,Facilities Dev Design Eng & Construction,Department of Facilities,Facilities Dev Design Eng & Construction,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10002458.0,362.0,Campus Services area,10002461.0,365.0,Facilities Dev Design Eng & Construction,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10002463,10002463,Facilities Mail Services,DEPARTMENTS,10002463.0,HR-591023,591023.0,Facilities Mail Services,Department of Facilities,Facilities Mail Services,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10002458.0,362.0,Campus Services area,10002463.0,367.0,Facilities Mail Services,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10002464,10002464,Repair & Maintenance,DEPARTMENTS,10002464.0,HR-591022,591022.0,Repair & Maintenance,Maintenance and Utilities,Facilities Repair & Maintenance,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10004858.0,374.0,Maintenance and Utilities Area,10002464.0,375.0,Repair & Maintenance,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10000641,10000641,Parking and Transportation Office,DEPARTMENTS,10000641.0,HR-405900,405900.0,Parking and Transportation Office,Parking and Transportation Office,Parking and Transportation Office,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10002458.0,362.0,Campus Services area,10000641.0,372.0,Parking and Transportation Office,D_PARKING,Parking and Transportation,01/08/16 01:03 AM
O10000333,10000333,"Institute for Data, Systems, and Society",DEPARTMENTS,10000333.0,HR-068100,68100.0,"Institute for Data, Systems, and Society","Institute for Data, Systems, and Society","Institute for Data, Systems, and Society",Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000333.0,74.0,"Institute for Data, Systems, and Society",,,,D_IDSS,"Institute for Data, Systems, and Society",01/08/16 01:03 AM
O10000349,10000349,Sociotechnical Systems Research Center,DEPARTMENTS,10000349.0,HR-069400,69400.0,Sociotechnical Systems Research Center,Sociotechnical Systems Research Center,Sociotechnical Systems Research Center,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000349.0,81.0,Sociotechnical Systems Research Center,,,,D_SSRC,Sociotechnical Systems Research Center,01/08/16 01:03 AM
O10005109,10005109,"ODL, Business Operations",DEPARTMENTS,10005109.0,HR-447103,447103.0,"ODL, Business Operations","ODL, Business Operations","ODL, Business Operations",Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10004583.0,264.0,Digital Learning Area,10005083.0,267.0,ODL area,D_DL,Digital Learning,01/08/16 01:03 AM
O10005113,10005113,"ODL, Digital Learning Solutions",DEPARTMENTS,10005113.0,HR-447102,447102.0,"ODL, Digital Learning Solutions","ODL, Digital Learning Solutions","ODL, Digital Learning Solutions",Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10004583.0,264.0,Digital Learning Area,10005083.0,267.0,ODL area,D_DL,Digital Learning,01/08/16 01:03 AM
O10000277,10000277,Media Laboratory,DEPARTMENTS,10000277.0,HR-039000,39000.0,Media Laboratory,Media Laboratory,Media Laboratory,Architecture & Planning Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000005.0,7.0,Architecture & Planning Area,10004633.0,13.0,Media Lab Area,10000277.0,15.0,Media Laboratory,D_MEDIA,Media Lab,01/08/16 01:03 AM
O10004284,10004284,Institute for Medical Eng. and Science,DEPARTMENTS,10004284.0,HR-061901,61901.0,Institute for Medical Eng. and Science,Institute for Medical Engineering and Science,,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10004283.0,43.0,IMES Area,10004284.0,44.0,Institute for Medical Eng. and Science,D_IMES,Institute for Medical Engineering and Science,01/08/16 01:03 AM
O10002809,10002809,Federal Work Study,DEPARTMENTS,10002809.0,HR-449050,449050.0,Federal Work Study,Federal Work Study,Federal Work Study,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10002808.0,186.0,Student Financial Services Area,10002809.0,187.0,Federal Work Study,D_SFS,Student Financial Services,01/08/16 01:03 AM
O10002009,10002009,CAC-General,DEPARTMENTS,10002009.0,HR-405510,405510.0,CAC-General,CAC-General,CAC-General,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10002033.0,162.0,Enterprise Services Area,10002008.0,164.0,Campus Activities Complex Area,D_CAC,Campus Activities Complex,01/08/16 01:03 AM
O10000659,10000659,Corporate Development,DEPARTMENTS,10000659.0,HR-410010,410010.0,Corporate Development,Corporate Development,Corporate Development,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000659.0,409.0,Corporate Development,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000661,10000661,Office of Communications and Events,DEPARTMENTS,10000661.0,HR-410020,410020.0,Office of Communications and Events,Office of Communications and Events,Office of Communications and Events,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000661.0,411.0,Office of Communications and Events,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000663,10000663,Office of Foundation Relations,DEPARTMENTS,10000663.0,HR-410040,410040.0,Office of Foundation Relations,Office of Foundation Relations,Office of Foundation Relations,VP for Resource Development,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10000035.0,401.0,VP for Resource Development,10000187.0,402.0,Office VP Resource Development,10000663.0,413.0,Office of Foundation Relations,D_RESDEV,Vice President for Resource Development,01/08/16 01:03 AM
O10000804,10000804,DAPER Intercollegiate Sports,DEPARTMENTS,10000804.0,HR-501000,501000.0,DAPER Intercollegiate Sports,DAPER Intercollegiate Sports,DAPER Intercollegiate Sports,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000805.0,175.0,"Dept of Athletics, Phys Ed, & Recreation",10000804.0,176.0,DAPER Intercollegiate Sports,D_ATHLETICS,"Dept of Athletics, Phys Ed, & Recreation",01/08/16 01:03 AM
O10000924,10000924,DAPER Community Programs,DEPARTMENTS,10000924.0,HR-501400,501400.0,DAPER Community Programs,DAPER Community Programs,DAPER Community Programs,Dean for Student Life Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000012.0,140.0,Dean for Student Life Area,10000805.0,175.0,"Dept of Athletics, Phys Ed, & Recreation",10000924.0,181.0,DAPER Community Programs,D_ATHLETICS,"Dept of Athletics, Phys Ed, & Recreation",01/08/16 01:03 AM
O10000853,10000853,Department of Facilities,DEPARTMENTS,10000853.0,HR-591000,591000.0,Department of Facilities,Department of Facilities,Department of Facilities,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10002458.0,362.0,Campus Services area,10000853.0,373.0,Department of Facilities,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10002466,10002466,Facilities Misc,DEPARTMENTS,10002466.0,HR-591024&5,591024.0,Facilities Misc,Department of Facilities,Facilities Misc,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10002458.0,362.0,Campus Services area,10002466.0,368.0,Facilities Misc,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10003558,10003558,Campus Construction,DEPARTMENTS,10003558.0,HR-591100,591100.0,Campus Construction,Campus Construction,Campus Construction,MIT Department of Facilities area,Executive Vice President Area,MIT-All,10000000.0,1.0,MIT-All,10000002.0,316.0,Executive Vice President Area,10004934.0,361.0,MIT Department of Facilities area,10004935.0,381.0,Campus Construction area,10003558.0,382.0,Campus Construction,D_FACILITIES,Department of Facilities,01/08/16 01:03 AM
O10004308,10004308,PE International Programs,DEPARTMENTS,10004308.0,HR-061801,61801.0,PE International Programs,PE International Programs,Professional Education International Programs,Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000954.0,26.0,Professional Education Programs Area,10004308.0,28.0,PE International Programs,D_PEP,Professional Education Programs,01/08/16 01:03 AM
O10004334,10004334,World Wide Web Consortium,DEPARTMENTS,10004334.0,HR-067909,67909.0,World Wide Web Consortium,World Wide Web Consortium,,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10003985.0,287.0,CSAIL Area,10004334.0,290.0,World Wide Web Consortium,D_CSAIL,Computer Sciences and Artificial Intelligence Lab,01/08/16 01:03 AM
O10000536,10000536,Physics,DEPARTMENTS,10000536.0,HR-158000,158000.0,Physics,Department of Physics,"Physics, Department of",Science Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000030.0,117.0,Science Area,10000536.0,128.0,Physics,,,,D_PHYSICS,Physics,01/08/16 01:03 AM
